time, Quad.IMU.AX
0.005000,0.552092
0.010000,0.073913
0.015000,0.523375
0.020000,-0.426419
0.025000,0.916424
0.030000,-0.296237
0.035000,0.182526
0.040000,-0.569616
0.045000,0.309447
0.050000,-1.086222
0.055000,-0.000003
0.060000,0.410050
0.065000,-0.800611
0.070000,0.975337
0.075000,0.599153
0.080000,0.178824
0.085000,0.497363
0.090000,0.768753
0.095000,-0.036049
0.100000,0.836604
0.105000,1.053580
0.110000,0.314060
0.115000,0.049779
0.120000,-0.149822
0.125000,-0.106017
0.130000,-1.012512
0.135000,-0.070391
0.140000,0.064975
0.145000,0.412858
0.150000,0.250758
0.155000,-0.610612
0.160000,0.439246
0.165000,-0.075820
0.170000,0.314067
0.175000,0.882300
0.180000,0.061088
0.185000,-0.648964
0.190000,-0.680261
0.195000,-0.023585
0.200000,0.695321
0.205000,-0.663180
0.210000,-0.498581
0.215000,0.155674
0.220000,-0.745180
0.225000,-0.187652
0.230000,0.078067
0.235000,-0.301403
0.240000,-0.252709
0.245000,-0.537499
0.250000,-0.081780
0.255000,-0.688052
0.260000,0.194521
0.265000,-0.268083
0.270000,-0.407808
0.275000,-0.506060
0.280000,0.090042
0.285000,0.252229
0.290000,-0.520411
0.295000,-0.285134
0.300000,-0.032009
0.305000,-0.313447
0.310000,0.599094
0.314999,-0.020813
0.319999,0.530601
0.324999,0.519601
0.329999,0.594317
0.334999,-0.111327
0.339999,-0.269197
0.344999,-0.042077
0.349999,-0.621588
0.354999,-0.199803
0.359999,0.125073
0.364999,0.502492
0.369999,1.156945
0.374999,0.259563
0.379999,-0.181714
0.384999,-0.632048
0.389999,0.282060
0.394998,0.170397
0.399998,-0.025067
0.404998,-0.831983
0.409998,0.231280
0.414998,-0.233153
0.419998,0.430200
0.424998,0.087852
0.429998,-0.554867
0.434998,-0.336893
0.439998,-0.228205
0.444998,0.038858
0.449998,-1.002565
0.454998,-1.229714
0.459998,0.025346
0.464998,0.346585
0.469997,-0.575795
0.474997,-0.517463
0.479997,0.876848
0.484997,0.182254
0.489997,-0.630810
0.494997,-0.132127
0.499997,-0.284030
0.504997,0.315834
0.509997,-0.391408
0.514997,0.219189
0.519997,-0.101491
0.524997,0.013090
0.529997,-0.632226
0.534997,0.096451
0.539997,0.389306
0.544997,0.196551
0.549996,-0.615295
0.554996,0.056635
0.559996,-0.495275
0.564996,0.388006
0.569996,-0.882861
0.574996,-0.053748
0.579996,-0.083198
0.584996,-0.066145
0.589996,0.358103
0.594996,0.430471
0.599996,-0.976542
0.604996,0.054894
0.609996,-0.305806
0.614996,0.099928
0.619996,0.352984
0.624996,-0.266167
0.629995,0.499003
0.634995,0.086078
0.639995,-1.071089
0.644995,-0.110856
0.649995,0.298123
0.654995,0.612452
0.659995,-0.091202
0.664995,0.566739
0.669995,0.042507
0.674995,0.177943
0.679995,-0.616472
0.684995,0.044499
0.689995,0.013915
0.694995,0.578066
0.699995,0.577158
0.704994,-0.224687
0.709994,0.629784
0.714994,-0.252230
0.719994,-0.020778
0.724994,0.748856
0.729994,0.032731
0.734994,0.613217
0.739994,-0.688280
0.744994,0.616320
0.749994,-0.050317
0.754994,-0.212214
0.759994,0.238056
0.764994,0.402964
0.769994,-0.478143
0.774994,0.725190
0.779994,-0.099824
0.784993,-0.130249
0.789993,0.537622
0.794993,-0.937672
0.799993,-0.123043
0.804993,0.144440
0.809993,-0.390444
0.814993,-0.233496
0.819993,-0.179968
0.824993,0.446996
0.829993,0.056922
0.834993,0.301737
0.839993,0.049344
0.844993,0.627129
0.849993,-0.088171
0.854993,-0.110981
0.859993,-0.350179
0.864992,-0.171457
0.869992,-0.474410
0.874992,0.108741
0.879992,-0.095209
0.884992,-0.393971
0.889992,-0.672418
0.894992,-0.700771
0.899992,0.472875
0.904992,-0.017219
0.909992,0.192617
0.914992,-0.329310
0.919992,-0.371355
0.924992,-0.259014
0.929992,0.473108
0.934992,-0.445095
0.939991,0.302673
0.944991,-0.237306
0.949991,1.253513
0.954991,-0.660541
0.959991,0.481038
0.964991,1.187445
0.969991,-0.732032
0.974991,0.963360
0.979991,-0.684666
0.984991,0.176143
0.989991,0.632386
0.994991,-0.610003
0.999991,0.243351
1.004991,0.146539
1.009991,-0.000657
1.014991,0.928373
1.019992,0.598148
1.024992,-0.100746
1.029992,-0.691752
1.034992,-0.000713
1.039993,-0.018628
1.044993,-0.060985
1.049993,0.704123
1.054993,-0.081281
1.059994,-0.162992
1.064994,-0.064152
1.069994,-0.292665
1.074994,-0.172709
1.079994,0.558996
1.084995,0.119642
1.089995,-0.126384
1.094995,-0.099348
1.099995,0.462901
1.104996,-0.135484
1.109996,0.513778
1.114996,-0.259024
1.119996,-0.120211
1.124997,-0.346365
1.129997,-0.796805
1.134997,0.362703
1.139997,0.162010
